日期,收盘,开盘,高,低,交易量,收盘,涨跌幅
2021年9月27日,294.17,296.14,296.47,292.94,23.38,430125632,-1.73
2021年9月24日,299.35,298.23,299.80,296.93,15.00,430125632,-0.07
2021年9月23日,299.56,298.85,300.90,297.53,18.17,430125632,0.33
2021年9月22日,298.58,296.73,300.22,294.51,26.63,430125632,1.28
2021年9月21日,294.80,295.69,297.54,294.07,21.53,430125632,0.17
2021年9月20日,294.30,296.33,298.72,289.52,37.75,430125632,-1.86
2021年9月17日,299.87,304.17,304.50,299.53,41.37,430125632,-1.75
2021年9月16日,305.22,303.76,305.31,300.76,19.04,430125632,0.13
2021年9月15日,304.82,303.26,305.32,301.82,27.69,430125632,1.68
2021年9月14日,299.79,299.56,301.39,298.10,21.36,430125632,0.94
2021年9月13日,296.99,297.55,298.54,294.08,22.41,430125632,0.43
2021年9月10日,295.71,298.42,299.92,295.38,19.63,430125632,-0.52
2021年9月9日,297.25,300.82,302.14,297.00,19.88,430125632,-0.99
2021年9月8日,300.21,299.78,300.61,297.47,14.96,430125632,0.01
2021年9月7日,300.18,301.01,301.09,298.20,16.89,430125632,-0.32
2021年9月3日,301.14,300.99,302.60,300.26,14.75,430125632,-0.00
2021年9月2日,301.15,302.20,303.36,300.18,16.26,430125632,-0.23
2021年9月1日,301.83,302.86,305.19,301.49,18.98,430125632,-0.02
2021年8月31日,301.88,304.42,304.50,301.50,26.03,430125632,-0.56
2021年8月30日,303.59,301.11,304.22,301.06,16.03,430125632,1.29
2021年8月27日,299.72,298.99,300.87,296.83,22.61,430125632,0.21
2021年8月26日,299.09,300.99,302.43,298.95,17.57,430125632,-0.97
2021年8月25日,302.01,304.30,304.59,300.42,19.23,430125632,-0.20
2021年8月24日,302.62,305.02,305.65,302.00,17.88,430125632,-0.67
2021年8月23日,304.65,303.24,305.40,301.85,21.91,430125632,0.10
2021年8月20日,304.36,299.72,305.84,298.06,40.82,430125632,2.56
2021年8月19日,296.77,288.69,297.47,288.64,29.58,430125632,2.08
2021年8月18日,290.73,292.04,294.82,290.27,21.70,430125632,-0.80
2021年8月17日,293.08,292.39,293.43,291.08,19.98,430125632,-0.52
2021年8月16日,294.60,293.19,294.82,290.02,22.39,430125632,0.60
2021年8月13日,292.85,289.48,292.90,289.30,18.25,430125632,1.05
2021年8月12日,289.81,286.63,289.97,286.34,14.38,430125632,1.00
2021年8月11日,286.95,287.21,288.66,285.86,13.94,430125632,0.18
2021年8月10日,286.44,288.65,289.22,285.20,18.62,430125632,-0.66
2021年8月9日,288.33,289.82,291.53,287.82,16.12,430125632,-0.39
2021年8月6日,289.46,288.51,289.50,287.62,16.59,430125632,-0.02
2021年8月5日,289.52,286.88,289.61,286.21,13.90,430125632,1.05
2021年8月4日,286.51,285.87,287.57,284.66,16.19,430125632,-0.21
2021年8月3日,287.12,285.64,287.21,284.22,17.88,430125632,0.81
2021年8月2日,284.82,286.47,286.68,283.79,16.27,430125632,-0.03
2021年7月30日,284.91,285.17,286.66,283.91,20.94,430125632,-0.55
2021年7月29日,286.50,286.24,288.58,286.08,18.17,430125632,0.10
2021年7月28日,286.22,288.92,290.13,283.91,33.57,430125632,-0.11
2021年7月27日,286.54,289.31,289.48,282.98,33.60,430125632,-0.87
2021年7月26日,289.05,288.90,289.69,286.67,23.18,430125632,-0.21
2021年7月23日,289.67,287.37,289.99,286.50,22.77,430125632,1.23
2021年7月22日,286.14,283.84,286.42,283.42,23.38,430125632,1.68
2021年7月21日,281.40,278.90,281.52,277.29,24.36,430125632,0.74
2021年7月20日,279.32,278.03,280.97,276.26,26.26,430125632,0.83
2021年7月19日,277.01,278.93,280.37,274.45,32.94,430125632,-1.33
2021年7月16日,280.75,282.07,284.10,279.46,26.19,430125632,-0.10
2021年7月15日,281.03,282.04,282.46,279.85,22.60,430125632,-0.52
2021年7月14日,282.51,282.52,283.62,280.64,23.11,430125632,0.54
2021年7月13日,280.98,277.46,282.84,277.46,26.12,430125632,1.32
2021年7月12日,277.32,279.34,279.64,276.60,18.93,430125632,-0.22
2021年7月9日,277.94,275.72,278.05,275.32,23.92,430125632,0.19
2021年7月8日,277.42,276.68,278.67,274.88,24.62,430125632,-0.90
2021年7月7日,279.93,279.61,280.69,278.12,23.26,430125632,0.82
2021年7月6日,277.66,278.00,279.36,274.35,31.57,430125632,0.00
2021年7月2日,277.65,272.82,278.00,272.50,26.47,430125632,2.23
2021年7月1日,271.60,269.69,271.77,269.65,16.73,430125632,0.26
2021年6月30日,270.90,270.69,271.35,269.61,21.66,430125632,-0.18
2021年6月29日,271.40,268.88,271.63,268.03,19.94,430125632,1.00
2021年6月28日,268.72,265.98,268.89,265.98,19.59,430125632,1.40
2021年6月25日,265.02,266.23,267.25,264.76,25.61,430125632,-0.63
2021年6月24日,266.69,265.51,267.85,265.51,21.45,430125632,0.54
2021年6月23日,265.27,265.62,266.81,264.43,19.52,430125632,-0.09
2021年6月22日,265.51,262.57,265.79,262.57,24.69,430125632,1.10
2021年6月21日,262.63,259.82,263.52,257.92,26.70,430125632,1.23
2021年6月18日,259.43,259.63,262.30,258.75,37.20,430125632,-0.56
2021年6月17日,260.90,256.17,261.75,256.17,27.57,430125632,1.37
2021年6月16日,257.38,259.24,260.58,254.44,27.22,430125632,-0.38
